name,quality_score,adjusted_quality_score,quality_reasons,duplicate,source,manual_label,notes
advaun,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels,false,learned,,
carri,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels,false,learned,,
keimy,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels,false,learned,,
ett,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels,false,learned,,
aibah,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels,false,learned,,
zah,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels,false,learned,,
eun,1.0000,1.0000,looks like a plausible name|reasonable_length,false,learned,,
jareemarile,0.7200,0.6374,too_many_syllable_chunks|doubled_vowel|reasonable_length|balanced_vowels,false,learned,,
deoluwathammi,0.5500,0.4581,long_name|too_many_syllable_chunks|balanced_vowels,false,learned,,
crimanu,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels,false,learned,,
tresteph,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels,false,learned,,
keleksantleen,0.4700,0.3798,long_name|too_many_syllable_chunks|doubled_vowel|balanced_vowels,false,learned,,
deka,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels,false,learned,,
tormanagray,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels,false,learned,,
abhjot,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels,false,learned,,
akith,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels,false,learned,,
bowendrealia,0.5500,0.4581,long_name|too_many_syllable_chunks|balanced_vowels,false,learned,,
rhydeli,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels,false,learned,,
erven,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels,false,learned,,
karolly,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels,false,learned,,
peyshaan,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels,false,learned,,
fra,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels,false,learned,,
nitis,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels,false,learned,,
armanna,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels,false,learned,,
jhetterson,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels|common_name_ending,false,learned,,
takaisi,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels,false,learned,,
mabella,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels,false,learned,,
edgelia,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels,false,learned,,
nimson,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels|common_name_ending,false,learned,,
kristiaria,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels,false,learned,,
acxon,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels,false,learned,,
rowendarius,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels,false,learned,,
kaedari,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels,false,learned,,
hensiya,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels,false,learned,,
jenne,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels,false,learned,,
hel,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels,false,learned,,
leyn,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels,false,learned,,
aerid,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels,false,learned,,
das,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels,false,learned,,
lessaden,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels,false,learned,,
emena,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels,false,learned,,
sanver,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels,false,learned,,
jayder,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels,false,learned,,
camaye,1.0000,1.0000,looks like a plausible name|reasonable_length,false,learned,,
alous,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels,false,learned,,
mathi,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels,false,learned,,
armineaveron,0.5500,0.4581,long_name|too_many_syllable_chunks|balanced_vowels,false,learned,,
corria,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels,false,learned,,
isaharia,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels,false,learned,,
mee,1.0000,1.0000,looks like a plausible name|reasonable_length,false,learned,,
rayvia,1.0000,1.0000,looks like a plausible name|reasonable_length,false,learned,,
daequariq,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels,false,learned,,
anoreena,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels,false,learned,,
dayquanna,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels,false,learned,,
uriyana,1.0000,1.0000,looks like a plausible name|reasonable_length,false,learned,,
sha,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels,false,learned,,
yverustiniti,0.5500,0.4581,long_name|too_many_syllable_chunks|balanced_vowels,false,learned,,
ryl,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels,false,learned,,
massioni,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels,false,learned,,
makerrabhnoah,0.5500,0.4581,long_name|too_many_syllable_chunks|balanced_vowels,false,learned,,
loughn,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels,false,learned,,
kasz,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels,false,learned,,
mazalesley,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels,false,learned,,
dasaneth,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels,false,learned,,
zeraly,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels,false,learned,,
katheodori,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels,false,learned,,
danderick,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels,false,learned,,
marri,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels,false,learned,,
lae,1.0000,1.0000,looks like a plausible name|reasonable_length,false,learned,,
per,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels,false,learned,,
kaylahani,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels,false,learned,,
karme,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels,false,learned,,
ulys,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels,false,learned,,
tessak,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels,false,learned,,
tiyah,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels,false,learned,,
ahremon,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels,false,learned,,
tol,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels,false,learned,,
samarinn,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels,false,learned,,
greyah,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels,false,learned,,
sabelle,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels,false,learned,,
ter,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels,false,learned,,
viracely,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels,false,learned,,
jerzej,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels,false,learned,,
donissius,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels,false,learned,,
alty,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels,false,learned,,
abhavan,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels,false,learned,,
key,1.0000,1.0000,looks like a plausible name|reasonable_length,false,learned,,
waltyn,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels,false,learned,,
kaliberlin,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels|common_name_ending,false,learned,,
kahlandrayla,0.5500,0.4581,long_name|too_many_syllable_chunks|balanced_vowels,false,learned,,
traxson,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels|common_name_ending,false,learned,,
laytt,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels,false,learned,,
amaireezer,0.9200,0.8924,doubled_vowel|reasonable_length|balanced_vowels,false,learned,,
free,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels,false,learned,,
aad,1.0000,1.0000,looks like a plausible name|reasonable_length,false,learned,,
gracelys,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels,false,learned,,
chlyn,1.0000,1.0000,looks like a plausible name|reasonable_length,false,learned,,
rubiago,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels,false,learned,,
brenne,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels,false,learned,,
katerrin,1.0000,1.0000,looks like a plausible name|reasonable_length|balanced_vowels|common_name_ending,false,learned,,
